HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:7459	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	Approved	gene with protein product	MTND4, LHON	ND4, NAD4	mitochondria	4538	ENSG00000198886		1974	Mitochondrially encoded protein coding genes
HGNC:7460	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	Approved	gene with protein product	MTND4L	ND4L, NAD4L	mitochondria	4539	ENSG00000212907		1974	Mitochondrially encoded protein coding genes
HGNC:7461	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	Approved	gene with protein product	MTND5	ND5, NAD5	mitochondria	4540	ENSG00000198786		1974	Mitochondrially encoded protein coding genes
HGNC:7462	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	Approved	gene with protein product	MTND6	NAD6, ND6	mitochondria	4541	ENSG00000198695		1974	Mitochondrially encoded protein coding genes
HGNC:7409	MT-7SDNA	mitochondrially encoded 7S DNA	Approved	region	MT7SDNA		mitochondria				1973	Mitochondrially encoded regions
HGNC:7416	MT-ATT	mitochondrially encoded membrane attachment site	Approved	region	MTATT		mitochondria				1973	Mitochondrially encoded regions
HGNC:7424	MT-CSB1	mitochondrially encoded conserved sequence block I	Approved	region	MTCSB1	CSB-I	mitochondria				1973	Mitochondrially encoded regions
HGNC:7425	MT-CSB2	mitochondrially encoded conserved sequence block II	Approved	region	MTCSB2	CSB-II	mitochondria				1973	Mitochondrially encoded regions
HGNC:7426	MT-CSB3	mitochondrially encoded conserved sequence block III	Approved	region	MTCSB3	CSB-III	mitochondria				1973	Mitochondrially encoded regions
HGNC:7438	MT-HPR	mitochondrially encoded replication primer	Approved	region	MTHPR	HPR	mitochondria				1973	Mitochondrially encoded regions
HGNC:7439	MT-HSP1	mitochondrially encoded major H-strand promoter	Approved	region	MTHSP1		mitochondria				1973	Mitochondrially encoded regions
HGNC:7440	MT-HSP2	mitochondrially encoded minor H-strand promoter	Approved	region	MTHSP2		mitochondria				1973	Mitochondrially encoded regions
HGNC:7447	MT-LSP	mitochondrially encoded L-strand promoter	Approved	region	MTLSP		mitochondria				1973	Mitochondrially encoded regions
HGNC:7465	MT-OHR	mitochondrially encoded heavy strand origin of replication	Approved	region	MTOHR		mitochondria				1973	Mitochondrially encoded regions
HGNC:7466	MT-OLR	mitochondrially encoded light strand origin of replication	Approved	region	MTOLR	OriL	mitochondria				1973	Mitochondrially encoded regions
HGNC:7472	MT-RNR3	mitochondrially encoded 5S-like sequence	Approved	region	MTRNR3		mitochondria				1973	Mitochondrially encoded regions
HGNC:7476	MT-TAS	mitochondrially encoded termination associated sequence	Approved	region	MTTAS		mitochondria				1973	Mitochondrially encoded regions
HGNC:7480	MT-TER	mitochondrially encoded transcription terminator	Approved	region	MTTER		mitochondria				1973	Mitochondrially encoded regions
HGNC:7482	MT-TFH	mitochondrially encoded transcription factor binding site H	Approved	region	MTTFH		mitochondria				1973	Mitochondrially encoded regions
HGNC:7483	MT-TFL	mitochondrially encoded transcription factor binding site L	Approved	region	MTTFL		mitochondria				1973	Mitochondrially encoded regions
HGNC:7484	MT-TFX	mitochondrially encoded transcription factor binding site X	Approved	region	MTTFX		mitochondria				1973	Mitochondrially encoded regions
HGNC:7485	MT-TFY	mitochondrially encoded transcription factor binding site Y	Approved	region	MTTFY		mitochondria				1973	Mitochondrially encoded regions
HGNC:7470	MT-RNR1	mitochondrially encoded 12S rRNA	Approved	RNA, ribosomal	MTRNR1	12S, MOTS-c	mitochondria	4549	ENSG00000211459		1378	Mitochondrially encoded ribosomal RNAs
HGNC:7471	MT-RNR2	mitochondrially encoded 16S rRNA	Approved	RNA, ribosomal	MTRNR2	HN, 16S	mitochondria	4550	ENSG00000210082		1378	Mitochondrially encoded ribosomal RNAs
HGNC:7475	MT-TA	mitochondrially encoded tRNA-Ala (GCN)	Approved	RNA, transfer	MTTA	trnA	mitochondria	4553	ENSG00000210127		843	Mitochondrially encoded transfer RNAs
HGNC:7477	MT-TC	mitochondrially encoded tRNA-Cys (UGU/C)	Approved	RNA, transfer	MTTC	trnC	mitochondria	4511	ENSG00000210140		843	Mitochondrially encoded transfer RNAs
HGNC:7478	MT-TD	mitochondrially encoded tRNA-Asp (GAU/C)	Approved	RNA, transfer	MTTD	trnD	mitochondria	4555	ENSG00000210154		843	Mitochondrially encoded transfer RNAs
HGNC:7479	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G)	Approved	RNA, transfer	MTTE	trnE	mitochondria	4556	ENSG00000210194		843	Mitochondrially encoded transfer RNAs
HGNC:7481	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C)	Approved	RNA, transfer	MTTF	trnF	mitochondria	4558	ENSG00000210049		843	Mitochondrially encoded transfer RNAs
HGNC:7486	MT-TG	mitochondrially encoded tRNA-Gly (GGN)	Approved	RNA, transfer	MTTG	trnG	mitochondria	4563	ENSG00000210164		843	Mitochondrially encoded transfer RNAs
HGNC:7487	MT-TH	mitochondrially encoded tRNA-His (CAU/C)	Approved	RNA, transfer	MTTH	trnH	mitochondria	4564	ENSG00000210176		843	Mitochondrially encoded transfer RNAs
HGNC:7488	MT-TI	mitochondrially encoded tRNA-Ile (AUU/C)	Approved	RNA, transfer	MTTI	trnI	mitochondria	4565	ENSG00000210100		843	Mitochondrially encoded transfer RNAs
HGNC:7489	MT-TK	mitochondrially encoded tRNA-Lys (AAA/G)	Approved	RNA, transfer	MERRF, MTTK	trnK	mitochondria	4566	ENSG00000210156		843	Mitochondrially encoded transfer RNAs
HGNC:7490	MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1	Approved	RNA, transfer	MTTL1	TRNL1	mitochondria	4567	ENSG00000209082		843	Mitochondrially encoded transfer RNAs
HGNC:7491	MT-TL2	mitochondrially encoded tRNA-Leu (CUN) 2	Approved	RNA, transfer	MTTL2	TRNL2	mitochondria	4568	ENSG00000210191		843	Mitochondrially encoded transfer RNAs
HGNC:7492	MT-TM	mitochondrially encoded tRNA-Met (AUA/G)	Approved	RNA, transfer	MTTM	trnM	mitochondria	4569	ENSG00000210112		843	Mitochondrially encoded transfer RNAs
HGNC:7493	MT-TN	mitochondrially encoded tRNA-Asn (AAU/C)	Approved	RNA, transfer	MTTN	trnN	mitochondria	4570	ENSG00000210135		843	Mitochondrially encoded transfer RNAs
HGNC:7494	MT-TP	mitochondrially encoded tRNA-Pro (CCN)	Approved	RNA, transfer	MTTP	trnP	mitochondria	4571	ENSG00000210196		843	Mitochondrially encoded transfer RNAs
HGNC:7495	MT-TQ	mitochondrially encoded tRNA-Gln (CAA/G)	Approved	RNA, transfer	MTTQ	trnQ	mitochondria	4572	ENSG00000210107		843	Mitochondrially encoded transfer RNAs
HGNC:7496	MT-TR	mitochondrially encoded tRNA-Arg (CGN)	Approved	RNA, transfer	MTTR	trnR	mitochondria	4573	ENSG00000210174		843	Mitochondrially encoded transfer RNAs
HGNC:7497	MT-TS1	mitochondrially encoded tRNA-Ser (UCN) 1	Approved	RNA, transfer	MTTS1	TRNS1	mitochondria	4574	ENSG00000210151		843	Mitochondrially encoded transfer RNAs
HGNC:7498	MT-TS2	mitochondrially encoded tRNA-Ser (AGU/C) 2	Approved	RNA, transfer	MTTS2	TRNS2, RP8	mitochondria	4575	ENSG00000210184		843	Mitochondrially encoded transfer RNAs
HGNC:7499	MT-TT	mitochondrially encoded tRNA-Thr (ACN)	Approved	RNA, transfer	MTTT, LIMM	trnT	mitochondria	4576	ENSG00000210195		843	Mitochondrially encoded transfer RNAs
HGNC:7500	MT-TV	mitochondrially encoded tRNA-Val (GUN)	Approved	RNA, transfer	MTTV	trnV	mitochondria	4577	ENSG00000210077		843	Mitochondrially encoded transfer RNAs
HGNC:7501	MT-TW	mitochondrially encoded tRNA-Trp (UGA/G)	Approved	RNA, transfer	MTTW	trnW	mitochondria	4578	ENSG00000210117		843	Mitochondrially encoded transfer RNAs
HGNC:7502	MT-TY	mitochondrially encoded tRNA-Tyr (UAU/C)	Approved	RNA, transfer	MTTY	trnY	mitochondria	4579	ENSG00000210144		843	Mitochondrially encoded transfer RNAs
